,Invigilator,Bench_num,Roll_num,Student_name
0,Brian Sutton,BN0001,CS0001,Yvie Sosa
1,Brian Sutton,BN0002,CS0002,Addison Carr
2,Brian Sutton,BN0003,CS0003,Melina Conway
3,Brian Sutton,BN0004,CS0004,Lindsay Bradford
4,Brian Sutton,BN0005,CS0005,Fern Mccann
5,Brian Sutton,BN0006,EE0001,Brian Sutton
6,Brian Sutton,BN0007,EE0002,Lucas Castro
7,Brian Sutton,BN0008,EE0003,Mateo Adams
8,Brian Sutton,BN0009,EE0004,Kellan Mcintyre
9,Brian Sutton,BN0010,EE0005,Tyreece Stephenson
10,Brian Sutton,BN0011,CV0001,Yvie Sosa
11,Brian Sutton,BN0012,CV0002,Addison Carr
12,Brian Sutton,BN0013,CV0003,Melina Conway
13,Brian Sutton,BN0014,CV0004,Lindsay Bradford
14,Brian Sutton,BN0015,CV0005,Fern Mccann
15,Brian Sutton,BN0016,MC0001,Brian Sutton
16,Brian Sutton,BN0017,MC0002,Lucas Castro
17,Brian Sutton,BN0018,MC0003,Mateo Adams
18,Brian Sutton,BN0019,MC0004,Kellan Mcintyre
19,Brian Sutton,BN0020,MC0005,Tyreece Stephenson
20,Brian Sutton,BN0021,CS0006,Jagdeep Searle
21,Brian Sutton,BN0022,CS0007,Nuala Bowman
22,Brian Sutton,BN0023,CS0008,Tea Avery
23,Brian Sutton,BN0024,CS0009,Killian Mccarthy
24,Brian Sutton,BN0025,CS0010,Rajveer Miller
25,Brian Sutton,BN0026,EE0006,Tommie Crosby
26,Brian Sutton,BN0027,EE0007,Bradley Pace
27,Brian Sutton,BN0028,EE0008,Andrea Ayers
28,Brian Sutton,BN0029,EE0009,Mekhi Feeney
29,Brian Sutton,BN0030,EE0010,Nile Sinclair
30,Brian Sutton,BN0031,CV0006,Jagdeep Searle
31,Brian Sutton,BN0032,CV0007,Nuala Bowman
32,Brian Sutton,BN0033,CV0008,Tea Avery
33,Brian Sutton,BN0034,CV0009,Killian Mccarthy
34,Brian Sutton,BN0035,CV0010,Rajveer Miller
35,Brian Sutton,BN0036,MC0006,Tommie Crosby
36,Brian Sutton,BN0037,MC0007,Bradley Pace
37,Brian Sutton,BN0038,MC0008,Andrea Ayers
38,Brian Sutton,BN0039,MC0009,Mekhi Feeney
39,Brian Sutton,BN0040,MC0010,Nile Sinclair
40,Brian Sutton,BN0041,CS0011,Taliyah Lamb
41,Brian Sutton,BN0042,CS0012,Fraya Flores
42,Brian Sutton,BN0043,CS0013,Brianna Cuevas
43,Brian Sutton,BN0044,CS0014,Tia Mccartney
44,Brian Sutton,BN0045,CS0015,Brooke Waller
45,Brian Sutton,BN0046,EE0011,Jobe Tillman
46,Brian Sutton,BN0047,EE0012,Daniaal Macias
47,Brian Sutton,BN0048,EE0013,Eryk Paul
48,Brian Sutton,BN0049,EE0014,Valentino Patton
49,Brian Sutton,BN0050,EE0015,Aariz Guzman
50,Brian Sutton,BN0051,CV0011,Taliyah Lamb
51,Brian Sutton,BN0052,CV0012,Fraya Flores
52,Brian Sutton,BN0053,CV0013,Brianna Cuevas
53,Brian Sutton,BN0054,CV0014,Tia Mccartney
54,Brian Sutton,BN0055,CV0015,Brooke Waller
55,Brian Sutton,BN0056,MC0011,Jobe Tillman
56,Brian Sutton,BN0057,MC0012,Daniaal Macias
57,Brian Sutton,BN0058,MC0013,Eryk Paul
58,Brian Sutton,BN0059,MC0014,Valentino Patton
59,Brian Sutton,BN0060,MC0015,Aariz Guzman
60,Brian Sutton,BN0061,CS0016,Nadia Lin
61,Brian Sutton,BN0062,CS0017,Juliet Wolfe
62,Brian Sutton,BN0063,CS0018,Cadi Whittaker
63,Brian Sutton,BN0064,CS0019,Isobel Bate
64,Brian Sutton,BN0065,CS0020,Monique Phelps
65,Brian Sutton,BN0066,EE0016,Rylee Ballard
66,Brian Sutton,BN0067,EE0017,Barney Fritz
67,Brian Sutton,BN0068,EE0018,Caine Cano
68,Brian Sutton,BN0069,EE0019,Shuaib Muir
69,Brian Sutton,BN0070,EE0020,Jorge Hoffman
70,Brian Sutton,BN0071,CV0016,Nadia Lin
71,Brian Sutton,BN0072,CV0017,Juliet Wolfe
72,Brian Sutton,BN0073,CV0018,Cadi Whittaker
73,Brian Sutton,BN0074,CV0019,Isobel Bate
74,Brian Sutton,BN0075,CV0020,Monique Phelps
