Student_name,Roll_num
Brian Sutton,EE0001
Lucas Castro,EE0002
Mateo Adams,EE0003
Kellan Mcintyre,EE0004
Tyreece Stephenson,EE0005
Tommie Crosby,EE0006
Bradley Pace,EE0007
Andrea Ayers,EE0008
Mekhi Feeney,EE0009
Nile Sinclair,EE0010
Jobe Tillman,EE0011
Daniaal Macias,EE0012
Eryk Paul,EE0013
Valentino Patton,EE0014
Aariz Guzman,EE0015
Rylee Ballard,EE0016
Barney Fritz,EE0017
Caine Cano,EE0018
Shuaib Muir,EE0019
Jorge Hoffman,EE0020
Vinny Farmer,EE0021
Tymon Howe,EE0022
Vivian Wilkes,EE0023
Tomasz Simpson,EE0024
Marni Koch,EE0025
Idris Robertson,EE0026
Heath Bloggs,EE0027
Tristan Ramsey,EE0028
Joseph Jacobson,EE0029
Zi Burn,EE0030
Tony Villalobos,EE0031
Caius Rollins,EE0032
Josef Clayton,EE0033
Bradleigh Benitez,EE0034
Cairo Munoz,EE0035
Ivo Henderson,EE0036
Jaxon Walmsley,EE0037
Soren Wormald,EE0038
Boris Horne,EE0039
Qasim Keeling,EE0040
Zakariya Lord,EE0041
Saeed Wharton,EE0042
Garfield Iles,EE0043
Blair Henson,EE0044
Noa May,EE0045
Stevie Phelps,EE0046
Dafydd Chapman,EE0047
Johnny Delacruz,EE0048
Kareem Jensen,EE0049
Richie Butt,EE0050
Lawson Thatcher,EE0051
Brooklyn Gould,EE0052
Abdur-Rahman Golden,EE0053
Russell Winters,EE0054
Johnathon Moran,EE0055
Farah Clegg,EE0056
Tyler-Jay Donaldson,EE0057
Azaan Lake,EE0058
Zaine Lucero,EE0059
Federico Sutherland,EE0060
Jackson Hanson,EE0061
Donnell Roth,EE0062
Nataniel Rosas,EE0063
Jess Felix,EE0064
Isaiah Good,EE0065
Raja Head,EE0066
Kacper Wicks,EE0067
August Currie,EE0068
Tolga Andrews,EE0069
Montell Brett,EE0070
Patryk Plant,EE0071
Sami Kirkpatrick,EE0072
Jak Charles,EE0073
Kamran Dillard,EE0074
Kaiden Hays,EE0075
Abbas Searle,EE0076
Bobbie Lin,EE0077
Robbie Todd,EE0078
Kier Singh,EE0079
Rueben Francis,EE0080
Fraser Ashley,EE0081
Jai Finley,EE0082
Stanley Larsen,EE0083
Azeem Estes,EE0084
Sulaiman Velasquez,EE0085
Aled Rogers,EE0086
Jonas Berger,EE0087
Lleyton Markham,EE0088
Gwion Cooke,EE0089
Abdullahi Hooper,EE0090
Stefano Vo,EE0091
Darnell Mckee,EE0092
Xavier Greig,EE0093
Osian Cummings,EE0094
Caleb Carr,EE0095
Rafael Cash,EE0096
Chester Cope,EE0097
Courtney Guerrero,EE0098
Joe Peralta,EE0099
Kain Kaur,EE0100
